state_code,year,avg_median_sale,avg_median_list,avg_diff
AK,2023,345633.9343240652,369412.89003436425,-23778.955710299022
AK,2024,366930.4,381538.70823798625,-14608.308237986232
AK,2025,388763.37625,408891.03714285715,-20127.66089285718
AL,2023,253962.2934379458,275780.28971722367,-21817.996279277868
AL,2024,259854.52304864253,283978.053634677,-24123.530586034496
AL,2025,261688.9799798116,297208.9529880478,-35519.97300823621
AR,2023,225709.55570409982,248533.68710870802,-22824.131404608197
AR,2024,235916.69041796355,262650.91367403313,-26734.223256069585
AR,2025,244677.54233654877,264763.8292843073,-20086.28694775855
AZ,2023,432105.5067743133,495201.4276174063,-63095.920843093016
AZ,2024,446773.6081031644,505673.3582214765,-58899.75011831208
AZ,2025,457687.83542600897,529640.4557633974,-71952.62033738842
CA,2023,882815.085995086,971165.3256564115,-88350.23966132547
CA,2024,925645.7510536709,1004557.3292872336,-78911.57823356276
CA,2025,937095.4480407636,1074816.2646145269,-137720.81657376327
CO,2023,756466.0459969474,735015.7816880406,21450.26430890686
CO,2024,778642.3273206605,748402.3110195674,30240.01630109304
CO,2025,785511.0419508867,768311.8050554016,17199.236895485083
CT,2023,654396.900865113,601351.6179937952,53045.28287131782
CT,2024,638235.5990566037,628795.9568158168,9439.642240786925
CT,2025,687457.9713723776,708420.5447195553,-20962.573347177706
DC,2023,759530.275,639512.4166666666,120017.8583333334
DC,2024,768338.1083333333,627062.4166666666,141275.69166666665
DC,2025,813661.8,661389.9,152271.90000000002
DE,2023,337979.3088818398,344145.2551594747,-6165.946277634881
DE,2024,349424.5671521036,359817.5416666667,-10392.974514563102
DE,2025,363590.6663326653,378915.30652680655,-15324.640194141248
FL,2023,513369.89099329634,531761.1017674784,-18391.21077418205
FL,2024,534559.8743004658,550892.2234208881,-16332.349120422266
FL,2025,555179.2847034157,603138.303231229,-47959.018527813256
GA,2023,324226.02486157854,360881.0913958411,-36655.06653426256
GA,2024,340802.0219821971,366899.8738294419,-26097.851847244776
GA,2025,347157.30626967474,381829.2688442211,-34671.96257454634
HI,2023,1047817.2360861759,1067467.2410745847,-19650.004988408764
HI,2024,1096955.230442426,1032818.2059026579,64137.024539768
HI,2025,1063005.5293066476,987196.4507989908,75809.07850765681
IA,2023,232103.10031873846,251043.4750335871,-18940.374714848644
IA,2024,247222.63721928667,265828.42507172807,-18605.787852441397
IA,2025,248789.0501048218,280406.44754279405,-31617.39743797225
ID,2023,525522.8488461538,530162.9923809523,-4640.143534798524
ID,2024,539153.4489329269,558278.0506512302,-19124.60171830328
ID,2025,520543.8664510166,530139.7052689352,-9595.838817918557
IL,2023,249965.11426871683,282313.4729555156,-32348.358686798776
IL,2024,272577.9019255574,303066.4992683888,-30488.597342831374
IL,2025,283538.1985714286,327540.87745504844,-44002.67888361984
IN,2023,221046.8305381212,240124.74138151173,-19077.910843390535
IN,2024,237207.0828255129,252382.20036533131,-15175.117539818428
IN,2025,240515.04273827534,263153.73480662983,-22638.69206835449
KS,2023,226542.08343483557,245850.37637276435,-19308.29293792878
KS,2024,236929.14682249818,263836.0374921235,-26906.89066962531
KS,2025,244720.17022538552,277123.5423987777,-32403.372173392156
KY,2023,259781.84599933043,276103.7269779507,-16321.880978620291
KY,2024,277729.54735126323,291441.5245139476,-13711.977162684372
KY,2025,282552.88798037614,302585.7170257488,-20032.829045372666
LA,2023,206766.38581952118,226170.35995944118,-19403.97413992
LA,2024,213603.91324503312,238778.42786356303,-25174.51461852991
LA,2025,218389.08932714618,244596.58757526,-26207.498248113814
MA,2023,637386.6064177155,663288.3390306304,-25901.73261291487
MA,2024,669444.9751639005,701286.9101044313,-31841.934940530802
MA,2025,694368.3183515007,743022.495939174,-48654.1775876733
MD,2023,449802.2963456256,462166.624130041,-12364.327784415393
MD,2024,474862.18482490274,486354.7969497888,-11492.612124886073
MD,2025,484020.2126729048,505684.14097316965,-21663.928300264874
ME,2023,440632.75910596026,448482.0791810558,-7849.320075095515
ME,2024,464476.9626090569,468881.5318159569,-4404.5692069000215
ME,2025,469001.4078534031,498450.9457831325,-29449.537929729384
MI,2023,256253.49350758147,265675.73255813954,-9422.23905055807
MI,2024,271264.8765478268,284774.96779110935,-13510.091243282543
MI,2025,274237.42613636365,301821.8186554205,-27584.392519056855
MN,2023,346764.49353249156,378033.29757982766,-31268.804047336103
MN,2024,358424.36054387386,394646.04143406526,-36221.680890191405
MN,2025,358888.5431211499,442521.2117647059,-83632.66864355601
MO,2023,247292.12454113582,263096.0992300544,-15803.974688918592
MO,2024,264224.2329375268,274188.1599576271,-9963.927020100353
MO,2025,271072.71981747064,296315.58262377797,-25242.862806307327
MS,2023,218319.05704199182,238794.85412926393,-20475.797087272105
MS,2024,230341.44349252642,247253.47547926885,-16912.031986742426
MS,2025,233649.30327102804,263387.9485049834,-29738.64523395535
MT,2023,573563.9682492581,635214.1094249202,-61650.14117566205
MT,2024,639732.7678571428,653516.0628233555,-13783.294966212707
MT,2025,628679.6224188791,657839.0990825688,-29159.47666368971
NC,2023,365373.1990780755,395709.8626757563,-30336.663597680803
NC,2024,381581.82747019676,413714.2304388501,-32132.40296865336
NC,2025,385690.58985126857,433038.20282828284,-47347.61297701427
ND,2023,216849.71994715984,248554.45057034222,-31704.730623182375
ND,2024,251840.11916771752,253746.6102003643,-1906.4910326467652
ND,2025,221497.9603960396,270758.4082568807,-49260.447860841115
NE,2023,231140.22425474256,251512.10431654676,-20371.8800618042
NE,2024,240471.41119604316,256323.95285524568,-15852.541659202514
NE,2025,537441.9256055363,286165.8102073365,251276.11539819982
NH,2023,412322.6747873163,423229.67349857005,-10906.99871125375
NH,2024,453421.2711297071,459853.5183486239,-6432.247218916775
NH,2025,455843.63762486127,480693.5080321285,-24849.87040726724
NJ,2023,556672.6481177949,585552.7582431736,-28880.110125378706
NJ,2024,613807.4394021888,640719.240162736,-26911.80076054728
NJ,2025,649071.4833943337,676289.2449342614,-27217.761539927684
NM,2023,422590.3275534442,470148.38544568245,-47558.057892238256
NM,2024,447654.31241283123,464506.5776762402,-16852.265263408946
NM,2025,448254.6091113611,513299.11550387595,-65044.50639251486
NV,2023,583979.705792683,629398.7750146284,-45419.06922194548
NV,2024,629279.172,829454.867816092,-200175.69581609196
NV,2025,664456.184729064,707323.6513249652,-42867.466595901176
NY,2023,465818.6311200435,528158.1648503453,-62339.53373030183
NY,2024,514539.3549396716,575658.0364404189,-61118.681500747334
NY,2025,535701.5250911347,617686.8810530361,-81985.35596190137
OH,2023,240158.60083667844,255911.093040666,-15752.492203987553
OH,2024,254797.76287275864,272997.2031919263,-18199.440319167654
OH,2025,266805.1460893195,291133.15645092155,-24328.010361602064
OK,2023,208939.20069629326,222480.3198657718,-13541.119169478538
OK,2024,219895.46336386344,241724.74121715076,-21829.27785328732
OK,2025,221375.21069979717,248961.1459807074,-27585.935280910227
OR,2023,488050.3782763533,526351.5797588286,-38301.20148247533
OR,2024,502799.0257207462,541732.6819188821,-38933.65619813587
OR,2025,501223.43793706293,557011.1806293421,-55787.742692279164
PA,2023,255933.8887382173,270113.8301166769,-14179.941378459625
PA,2024,275401.80221581226,289195.1285016427,-13793.326285830466
PA,2025,281870.13163315755,304082.76386958844,-22212.632236430887
RI,2023,559795.7099661345,551467.3362350381,8328.373731096392
RI,2024,597766.7349426387,609871.1033564198,-12104.368413781165
RI,2025,664065.7163120568,677532.6316818774,-13466.915369820665
SC,2023,351081.93371419626,392597.0464965798,-41515.11278238351
SC,2024,378990.6767803804,407331.6114690722,-28340.93468869175
SC,2025,383496.7053706505,426589.7313497197,-43093.02597906918
SD,2023,302669.44328922493,330319.9303964758,-27650.48710725084
SD,2024,300183.25220978196,328581.7419354839,-28398.48972570192
SD,2025,887818.8862928349,366761.6054852321,521057.2808076028
TN,2023,344721.58221063303,389164.37745349034,-44442.795242857304
TN,2024,362871.3953160271,404939.43086073024,-42068.03554470313
TN,2025,364451.37241022097,423481.3503210273,-59029.97791080631
TX,2023,366224.9516099143,405113.8434162751,-38888.8918063608
TX,2024,376982.4740745844,408402.22691984894,-31419.752845264564
TX,2025,381300.305284416,428924.4831758034,-47624.17789138737
UT,2023,613033.4389174767,661664.6892304338,-48631.2503129571
UT,2024,618282.6142964918,661086.6424431086,-42804.028146616765
UT,2025,635735.1417502279,692962.1487644982,-57227.00701427029
VA,2023,467953.99225289404,490858.6675600454,-22904.675307151338
VA,2024,503787.5772887324,518545.17266842,-14757.595379687613
VA,2025,513555.472725265,554001.737377451,-40446.264652186015
VT,2023,387377.1491280818,409509.9098579041,-22132.760729822272
VT,2024,418151.953125,445241.48705780844,-27089.533932808437
VT,2025,453949.72352941177,465832.9087759815,-11883.185246569745
WA,2023,622112.3716656081,680835.9370746714,-58723.565409063245
WA,2024,659241.7641642505,708725.9157760117,-49484.15161176119
WA,2025,676437.3125,769256.1534868564,-92818.84098685638
WI,2023,311444.2279041581,324062.75944218476,-12618.53153802664
WI,2024,333101.8112923806,346511.05140240415,-13409.24011002353
WI,2025,346819.1834312839,377320.88812154694,-30501.704690263025
WV,2023,179804.53627287853,203032.78455696203,-23228.2482840835
WV,2024,195366.2972275951,218597.71184088808,-23231.41461329299
WV,2025,194075.50247933884,223893.98757062148,-29818.485091282637
WY,2023,983971.9809782609,1019889.800295858,-35917.81931759708
WY,2024,904100.2513812155,1088412.948051948,-184312.69667073258
WY,2025,943858.1914893617,1122149.2582781457,-178291.066788784
